grade,week,unit,skill_focus,core_routine,downloadable,assessment
Grade 3,21,Unit 3: Fluency and comprehension,Week 3 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,22,Unit 3: Fluency and comprehension,Week 4 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,23,Unit 3: Fluency and comprehension,Week 5 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,24,Unit 3: Fluency and comprehension,Week 6 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,25,Unit 3: Fluency and comprehension,Week 7 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,26,Unit 3: Fluency and comprehension,Week 8 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,27,Unit 3: Fluency and comprehension,Week 9 - read accurately with phrasing and answer with evidence,"repeated reading, annotation",fluency + evidence sheet,Friday mastery check; assign reteach if below 80%
Grade 3,28,Unit 4: Text-dependent response,Week 1 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,29,Unit 4: Text-dependent response,Week 2 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,30,Unit 4: Text-dependent response,Week 3 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,31,Unit 4: Text-dependent response,Week 4 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,32,Unit 4: Text-dependent response,Week 5 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,33,Unit 4: Text-dependent response,Week 6 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,34,Unit 4: Text-dependent response,Week 7 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,35,Unit 4: Text-dependent response,Week 8 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
Grade 3,36,Unit 4: Text-dependent response,Week 9 - write short responses using text evidence,"RACE frame, sentence expansion",constructed response rubric,Friday mastery check; assign reteach if below 80%
